2022-05-31/18:09:23		Start of Training
2022-05-31/18:16:54		Unsuccessful End of Training
2022-06-01/19:59:38		Start of Training
2022-06-01/19:59:40		Unsuccessful End of Training
2022-06-01/20:22:08		Start of Training
2022-06-01/20:24:56		Unsuccessful End of Training
2022-06-01/20:30:26		Start of Training
2022-06-01/20:30:27		Unsuccessful End of Training
2022-06-01/20:41:44		Start of Training
2022-06-01/20:41:44		Unsuccessful End of Training
2022-06-01/21:20:26		Start of Training
2022-06-01/21:20:27		Unsuccessful End of Training
2022-06-01/21:23:37		Start of Training
2022-06-01/21:23:38		Unsuccessful End of Training
2022-06-01/21:59:28		Start of Training
2022-06-01/21:59:29		Unsuccessful End of Training
2022-06-01/22:06:11		Start of Training
2022-06-01/22:18:05		Unsuccessful End of Training
2022-06-01/22:25:21		Start of Training
2022-06-01/22:35:35		Unsuccessful End of Training
2022-06-02/18:10:58		Start of Training
2022-06-02/18:11:00		Unsuccessful End of Training
2022-06-02/18:30:56		Start of Training
2022-06-02/18:30:57		Unsuccessful End of Training
2022-06-02/19:24:13		Start of Training
2022-06-02/19:32:27		Successful End of Training
2022-06-02/21:57:37		Start of Training
2022-06-02/22:22:37		Successful End of Training
2022-06-04/17:01:45		Start of Training
2022-06-04/17:01:45		Unsuccessful End of Training
2022-06-04/17:40:25		Start of Training
2022-06-04/17:48:20		Successful End of Training
2022-07-09/15:59:30		Start of Training
2022-07-09/16:04:36		Successful End of Training
2022-07-09/16:22:54		Start of Training
2022-07-09/16:22:54		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\data_ingestion\data_loader.py] line number [29] error message [[Errno 2] File b'Training_FileFromDB/InputFileaa.csv.csv' does not exist: b'Training_FileFromDB/InputFileaa.csv.csv'].
2022-07-09/16:32:29		Start of Training
2022-07-09/16:32:29		Unsuccessful End of TrainingError occurred python script name [B:\project\fraud_detection\data_ingestion\data_loader.py] line number [29] error message [[Errno 2] File b'Training_FileFromDB/InputFileaa.csv' does not exist: b'Training_FileFromDB/InputFileaa.csv'].
